category_en,item_en,category_it,item_it,category_de,item_de,category_nl,item_nl,category_es,item_es,category_pt,item_pt,category_fr,item_fr,category_zh,item_zh,category_ru,item_ru,category_ja,item_ja,category_ko,item_ko,category_ar,item_ar,category_hi,item_hi
Fruits,grapes,Frutta,uve,Obst,traube,Fruit,druifs,Frutas,uvas,Frutas,uvas,Fruits,raisins,水果,葡萄,Фрукты,виноград,果物,ぶどう,과일,포도,فواكه,عنب,फल,अंगूर
Fruits,strawberries,Frutta,strawberries,Obst,strawberries,Fruit,strawberries,Frutas,strawberries,Frutas,strawberries,Fruits,strawberries,水果,strawberries,Фрукты,strawberries,果物,strawberries,과일,strawberries,فواكه,strawberries,फल,strawberries
Fruits,strawberry,Frutta,fragola,Obst,erdbeere,Fruit,aardbei,Frutas,fresa,Frutas,morango,Fruits,fraise,水果,草莓,Фрукты,клубника,果物,いちご,과일,딸기,فواكه,فراولة,फल,स्ट्रॉबेरी
Fruits,blueberries,Frutta,blueberries,Obst,blueberries,Fruit,blueberries,Frutas,blueberries,Frutas,blueberries,Fruits,blueberries,水果,blueberries,Фрукты,blueberries,果物,blueberries,과일,blueberries,فواكه,blueberries,फल,blueberries
Fruits,blueberry,Frutta,blueberry,Obst,blueberry,Fruit,blueberry,Frutas,blueberry,Frutas,blueberry,Fruits,blueberry,水果,蓝莓,Фрукты,черника,果物,ブルーベリー,과일,블루베리,فواكه,توت أزرق,फल,ब्लूबेरी
Fruits,raspberries,Frutta,raspberries,Obst,raspberries,Fruit,raspberries,Frutas,raspberries,Frutas,raspberries,Fruits,raspberries,水果,raspberries,Фрукты,raspberries,果物,raspberries,과일,raspberries,فواكه,raspberries,फल,raspberries
Fruits,raspberry,Frutta,raspberry,Obst,raspberry,Fruit,raspberry,Frutas,raspberry,Frutas,raspberry,Fruits,raspberry,水果,覆盆子,Фрукты,малина,果物,ラズベリー,과일,라즈베리,فواكه,توت العليق,फल,रास्पबेरी
Fruits,blackberries,Frutta,blackberries,Obst,blackberries,Fruit,blackberries,Frutas,blackberries,Frutas,blackberries,Fruits,blackberries,水果,blackberries,Фрукты,blackberries,果物,blackberries,과일,blackberries,فواكه,blackberries,फल,blackberries
Fruits,mango,Frutta,mango,Obst,mango,Fruit,mango,Frutas,mango,Frutas,mango,Fruits,mango,水果,芒果,Фрукты,манго,果物,マンゴー,과일,망고,فواكه,مانجو,फल,आम
Fruits,mangoes,Frutta,mangoes,Obst,mangoes,Fruit,mangoes,Frutas,mangoes,Frutas,mangoes,Fruits,mangoes,水果,芒果,Фрукты,манго,果物,マンゴー,과일,망고,فواكه,مانجو,फल,आम
Fruits,pineapple,Frutta,pineapple,Obst,pineapple,Fruit,pineapple,Frutas,pineapple,Frutas,pineapple,Fruits,pineapple,水果,菠萝,Фрукты,ананас,果物,パイナップル,과일,파인애플,فواكه,أناناس,फल,अनानास
Fruits,watermelon,Frutta,watermelon,Obst,watermelon,Fruit,watermelon,Frutas,watermelon,Frutas,watermelon,Fruits,watermelon,水果,西瓜,Фрукты,арбуз,果物,スイカ,과일,수박,فواكه,بطيخ,फल,तरबूज
Fruits,melon,Frutta,melon,Obst,melon,Fruit,melon,Frutas,melon,Frutas,melon,Fruits,melon,水果,甜瓜,Фрукты,дыня,果物,メロン,과일,멜론,فواكه,شمام,फल,खरबूजा
Fruits,peach,Frutta,peach,Obst,peach,Fruit,peach,Frutas,peach,Frutas,peach,Fruits,peach,水果,桃子,Фрукты,персик,果物,桃,과일,복숭아,فواكه,خوخ,फल,आड़ू
Fruits,peaches,Frutta,peaches,Obst,peaches,Fruit,peaches,Frutas,peaches,Frutas,peaches,Fruits,peaches,水果,桃子,Фрукты,персик,果物,桃,과일,복숭아,فواكه,خوخ,फल,आड़ू
Fruits,pear,Frutta,pear,Obst,pear,Fruit,pear,Frutas,pear,Frutas,pear,Fruits,pear,水果,梨,Фрукты,груша,果物,梨,과일,배,فواكه,كمثرى,फल,नाशपाती
Fruits,pears,Frutta,pears,Obst,pears,Fruit,pears,Frutas,pears,Frutas,pears,Fruits,pears,水果,梨,Фрукты,груша,果物,梨,과일,배,فواكه,كمثرى,फल,नाशपाती
Fruits,plum,Frutta,plum,Obst,plum,Fruit,plum,Frutas,plum,Frutas,plum,Fruits,plum,水果,李子,Фрукты,слива,果物,プラム,과일,자두,فواكه,برقوق,फल,आलूबुखारा
Fruits,plums,Frutta,plums,Obst,plums,Fruit,plums,Frutas,plums,Frutas,plums,Fruits,plums,水果,李子,Фрукты,слива,果物,プラム,과일,자두,فواكه,برقوق,फल,आलूबुखारा
Fruits,kiwi,Frutta,kiwi,Obst,kiwi,Fruit,kiwi,Frutas,kiwi,Frutas,kiwi,Fruits,kiwi,水果,猕猴桃,Фрукты,киви,果物,キウイ,과일,키위,فواكه,كيوي,फल,कीवी
Fruits,cherry,Frutta,cherry,Obst,cherry,Fruit,cherry,Frutas,cherry,Frutas,cherry,Fruits,cherry,水果,樱桃,Фрукты,вишня,果物,さくらんぼ,과일,체리,فواكه,كرز,फल,चेरी
Fruits,cherries,Frutta,cherries,Obst,cherries,Fruit,cherries,Frutas,cherries,Frutas,cherries,Fruits,cherries,水果,cherries,Фрукты,cherries,果物,cherries,과일,cherries,فواكه,cherries,फल,cherries
Fruits,avocado,Frutta,avocado,Obst,avocado,Fruit,avocado,Frutas,avocado,Frutas,avocado,Fruits,avocado,水果,牛油果,Фрукты,авокадо,果物,アボカド,과일,아보카도,فواكه,أفوكادو,फल,एवोकाडो
Fruits,avocados,Frutta,avocados,Obst,avocados,Fruit,avocados,Frutas,avocados,Frutas,avocados,Fruits,avocados,水果,牛油果,Фрукты,авокадо,果物,アボカド,과일,아보카도,فواكه,أفوكادو,फल,एवोकाडो
Fruits,grapefruit,Frutta,grapefruit,Obst,grapefruit,Fruit,grapefruit,Frutas,grapefruit,Frutas,grapefruit,Fruits,grapefruit,水果,grapefruit,Фрукты,grapefruit,果物,grapefruit,과일,grapefruit,فواكه,grapefruit,फल,grapefruit
Fruits,pomegranate,Frutta,pomegranate,Obst,pomegranate,Fruit,pomegranate,Frutas,pomegranate,Frutas,pomegranate,Fruits,pomegranate,水果,pomegranate,Фрукты,pomegranate,果物,pomegranate,과일,pomegranate,فواكه,pomegranate,फल,pomegranate
Fruits,nectarine,Frutta,nectarine,Obst,nectarine,Fruit,nectarine,Frutas,nectarine,Frutas,nectarine,Fruits,nectarine,水果,nectarine,Фрукты,nectarine,果物,nectarine,과일,nectarine,فواكه,nectarine,फल,nectarine
Fruits,tangerine,Frutta,tangerine,Obst,tangerine,Fruit,tangerine,Frutas,tangerine,Frutas,tangerine,Fruits,tangerine,水果,tangerine,Фрукты,tangerine,果物,tangerine,과일,tangerine,فواكه,tangerine,फल,tangerine
Fruits,clementine,Frutta,clementine,Obst,clementine,Fruit,clementine,Frutas,clementine,Frutas,clementine,Fruits,clementine,水果,clementine,Фрукты,clementine,果物,clementine,과일,clementine,فواكه,clementine,फल,clementine
Fruits,coconut,Frutta,cocco,Obst,kokos,Fruit,kokos,Frutas,coco,Frutas,coco,Fruits,noix de coco,水果,coconut,Фрукты,coconut,果物,coconut,과일,coconut,فواكه,coconut,फल,coconut
Fruits,fig,Frutta,fig,Obst,fig,Fruit,fig,Frutas,fig,Frutas,fig,Fruits,fig,水果,fig,Фрукты,fig,果物,fig,과일,fig,فواكه,fig,फल,fig
Fruits,figs,Frutta,figs,Obst,figs,Fruit,figs,Frutas,figs,Frutas,figs,Fruits,figs,水果,figs,Фрукты,figs,果物,figs,과일,figs,فواكه,figs,फल,figs
Fruits,dates,Frutta,dates,Obst,dates,Fruit,dates,Frutas,dates,Frutas,dates,Fruits,dates,水果,dates,Фрукты,dates,果物,dates,과일,dates,فواكه,dates,फल,dates
Fruits,passion fruit,Frutta,passion fruit,Obst,passion fruit,Fruit,passion fruit,Frutas,passion fruit,Frutas,passion fruit,Fruits,passion fruit,水果,passion fruit,Фрукты,passion fruit,果物,passion fruit,과일,passion fruit,فواكه,passion fruit,फल,passion fruit
Fruits,papaya,Frutta,papaya,Obst,papaya,Fruit,papaya,Frutas,papaya,Frutas,papaya,Fruits,papaya,水果,papaya,Фрукты,papaya,果物,papaya,과일,papaya,فواكه,papaya,फल,papaya
Vegetables,tomato,Verdure,pomodoro,Gemüse,tomate,Groenten,tomaat,Verduras,tomate,Legumes,tomate,Légumes,tomate,蔬菜,番茄,Овощи,помидор,野菜,トマト,채소,토마토,خضروات,طماطم,सब्ज़ियाँ,टमाटर
Vegetables,tomatoes,Verdure,tomatoes,Gemüse,tomatoes,Groenten,tomatoes,Verduras,tomatoes,Legumes,tomatoes,Légumes,tomatoes,蔬菜,番茄,Овощи,помидор,野菜,トマト,채소,토마토,خضروات,طماطم,सब्ज़ियाँ,टमाटर
Vegetables,potato,Verdure,patata,Gemüse,kartoffel,Groenten,aardappel,Verduras,patata,Legumes,batata,Légumes,pomme de terre,蔬菜,土豆,Овощи,картофель,野菜,じゃがいも,채소,감자,خضروات,بطاطس,सब्ज़ियाँ,आलू
Vegetables,potatoes,Verdure,potatoes,Gemüse,potatoes,Groenten,potatoes,Verduras,potatoes,Legumes,potatoes,Légumes,potatoes,蔬菜,土豆,Овощи,картофель,野菜,じゃがいも,채소,감자,خضروات,بطاطس,सब्ज़ियाँ,आलू
Vegetables,onion,Verdure,cipolla,Gemüse,zwiebel,Groenten,ui,Verduras,cebolla,Legumes,cebola,Légumes,oignon,蔬菜,洋葱,Овощи,лук,野菜,玉ねぎ,채소,양파,خضروات,بصل,सब्ज़ियाँ,प्याज़
Vegetables,onions,Verdure,cipolle,Gemüse,zwiebel,Groenten,uis,Verduras,cebollas,Legumes,cebolas,Légumes,oignons,蔬菜,洋葱,Овощи,лук,野菜,玉ねぎ,채소,양파,خضروات,بصل,सब्ज़ियाँ,प्याज़
Vegetables,garlic,Verdure,aglio,Gemüse,knoblauch,Groenten,knoflook,Verduras,ajo,Legumes,alho,Légumes,ail,蔬菜,大蒜,Овощи,чеснок,野菜,にんにく,채소,마늘,خضروات,ثوم,सब्ज़ियाँ,लहसुन
Vegetables,carrot,Verdure,carota,Gemüse,karotte,Groenten,wortel,Verduras,zanahoria,Legumes,cenoura,Légumes,carotte,蔬菜,胡萝卜,Овощи,морковь,野菜,にんじん,채소,당근,خضروات,جزر,सब्ज़ियाँ,गाजर
Vegetables,carrots,Verdure,carote,Gemüse,karotte,Groenten,wortels,Verduras,zanahorias,Legumes,cenouras,Légumes,carottes,蔬菜,胡萝卜,Овощи,морковь,野菜,にんじん,채소,당근,خضروات,جزر,सब्ज़ियाँ,गाजर
Vegetables,broccoli,Verdure,broccoli,Gemüse,broccoli,Groenten,broccoli,Verduras,broccoli,Legumes,broccoli,Légumes,broccoli,蔬菜,西兰花,Овощи,брокколи,野菜,ブロッコリー,채소,브로콜리,خضروات,بروكلي,सब्ज़ियाँ,ब्रोकली
Vegetables,spinach,Verdure,spinach,Gemüse,spinach,Groenten,spinach,Verduras,spinach,Legumes,spinach,Légumes,spinach,蔬菜,菠菜,Овощи,шпинат,野菜,ほうれん草,채소,시금치,خضروات,سبانخ,सब्ज़ियाँ,पालक
Vegetables,lettuce,Verdure,lattuga,Gemüse,salat,Groenten,sla,Verduras,lechuga,Legumes,alface,Légumes,laitue,蔬菜,生菜,Овощи,салат,野菜,レタス,채소,상추,خضروات,خس,सब्ज़ियाँ,लेट्यूस
Vegetables,cucumber,Verdure,cucumber,Gemüse,cucumber,Groenten,cucumber,Verduras,cucumber,Legumes,cucumber,Légumes,cucumber,蔬菜,黄瓜,Овощи,огурец,野菜,きゅうり,채소,오이,خضروات,خيار,सब्ज़ियाँ,खीरा
Vegetables,cucumbers,Verdure,cucumbers,Gemüse,cucumbers,Groenten,cucumbers,Verduras,cucumbers,Legumes,cucumbers,Légumes,cucumbers,蔬菜,黄瓜,Овощи,огурец,野菜,きゅうり,채소,오이,خضروات,خيار,सब्ज़ियाँ,खीरा
Vegetables,pepper,Verdure,pepe,Gemüse,pfeffer,Groenten,peper,Verduras,pimienta,Legumes,pimenta,Légumes,poivre,蔬菜,胡椒,Овощи,перец,野菜,こしょう,채소,후추,خضروات,فلفل,सब्ज़ियाँ,काली मिर्च
Vegetables,peppers,Verdure,pepi,Gemüse,pfeffer,Groenten,pepers,Verduras,pimientas,Legumes,pimentas,Légumes,poivres,蔬菜,胡椒,Овощи,перец,野菜,こしょう,채소,후추,خضروات,فلفل,सब्ज़ियाँ,काली मिर्च
Vegetables,bell pepper,Verdure,bell pepe,Gemüse,bell pfeffer,Groenten,bell peper,Verduras,bell pimienta,Legumes,bell pimenta,Légumes,bell poivre,蔬菜,甜椒,Овощи,болгарский перец,野菜,パプリカ,채소,파프리카,خضروات,فلفل حلو,सब्ज़ियाँ,शिमला मिर्च
Vegetables,bell peppers,Verdure,bell pepi,Gemüse,bell pfeffer,Groenten,bell pepers,Verduras,bell pimientas,Legumes,bell pimentas,Légumes,bell poivres,蔬菜,甜椒,Овощи,болгарский перец,野菜,パプリカ,채소,파프리카,خضروات,فلفل حلو,सब्ज़ियाँ,शिमला मिर्च
Vegetables,zucchini,Verdure,zucchini,Gemüse,zucchini,Groenten,zucchini,Verduras,zucchini,Legumes,zucchini,Légumes,zucchini,蔬菜,西葫芦,Овощи,кабачок,野菜,ズッキーニ,채소,주키니,خضروات,كوسا,सब्ज़ियाँ,ज़ूकीनी
Vegetables,courgette,Verdure,courgette,Gemüse,courgette,Groenten,courgette,Verduras,courgette,Legumes,courgette,Légumes,courgette,蔬菜,courgette,Овощи,courgette,野菜,courgette,채소,courgette,خضروات,courgette,सब्ज़ियाँ,courgette
Vegetables,eggplant,Verdure,eggplant,Gemüse,eggplant,Groenten,eggplant,Verduras,eggplant,Legumes,eggplant,Légumes,eggplant,蔬菜,茄子,Овощи,баклажан,野菜,なす,채소,가지,خضروات,باذنجان,सब्ज़ियाँ,बैंगन
Vegetables,aubergine,Verdure,aubergine,Gemüse,aubergine,Groenten,aubergine,Verduras,aubergine,Legumes,aubergine,Légumes,aubergine,蔬菜,aubergine,Овощи,aubergine,野菜,aubergine,채소,aubergine,خضروات,aubergine,सब्ज़ियाँ,aubergine
Vegetables,mushroom,Verdure,mushroom,Gemüse,mushroom,Groenten,mushroom,Verduras,mushroom,Legumes,mushroom,Légumes,mushroom,蔬菜,蘑菇,Овощи,грибы,野菜,きのこ,채소,버섯,خضروات,فطر,सब्ज़ियाँ,मशरूम
Vegetables,mushrooms,Verdure,mushrooms,Gemüse,mushrooms,Groenten,mushrooms,Verduras,mushrooms,Legumes,mushrooms,Légumes,mushrooms,蔬菜,蘑菇,Овощи,грибы,野菜,きのこ,채소,버섯,خضروات,فطر,सब्ज़ियाँ,मशरूम
Vegetables,celery,Verdure,celery,Gemüse,celery,Groenten,celery,Verduras,celery,Legumes,celery,Légumes,celery,蔬菜,celery,Овощи,celery,野菜,celery,채소,celery,خضروات,celery,सब्ज़ियाँ,celery
Vegetables,corn,Verdure,mais,Gemüse,mais,Groenten,maïs,Verduras,maíz,Legumes,milho,Légumes,maïs,蔬菜,玉米,Овощи,кукуруза,野菜,とうもろこし,채소,옥수수,خضروات,ذرة,सब्ज़ियाँ,मक्का
Vegetables,sweet corn,Verdure,sweet mais,Gemüse,sweet mais,Groenten,sweet maïs,Verduras,sweet maíz,Legumes,sweet milho,Légumes,sweet maïs,蔬菜,sweet corn,Овощи,sweet corn,野菜,sweet corn,채소,sweet corn,خضروات,sweet corn,सब्ज़ियाँ,sweet corn
Vegetables,peas,Verdure,piselli,Gemüse,erbsen,Groenten,erwten,Verduras,guisantes,Legumes,ervilhas,Légumes,petits pois,蔬菜,peas,Овощи,peas,野菜,peas,채소,peas,خضروات,peas,सब्ज़ियाँ,peas
Vegetables,green beans,Verdure,fagioli verde,Gemüse,grün bohne,Groenten,groen boons,Verduras,frijols verde,Legumes,feijãos verde,Légumes,haricots vert,蔬菜,green beans,Овощи,green beans,野菜,green beans,채소,green beans,خضروات,green beans,सब्ज़ियाँ,green beans
Vegetables,beans,Verdure,fagioli,Gemüse,bohne,Groenten,boons,Verduras,frijols,Legumes,feijãos,Légumes,haricots,蔬菜,beans,Овощи,beans,野菜,beans,채소,beans,خضروات,beans,सब्ज़ियाँ,beans
Vegetables,cabbage,Verdure,cabbage,Gemüse,cabbage,Groenten,cabbage,Verduras,cabbage,Legumes,cabbage,Légumes,cabbage,蔬菜,cabbage,Овощи,cabbage,野菜,cabbage,채소,cabbage,خضروات,cabbage,सब्ज़ियाँ,cabbage
Vegetables,cauliflower,Verdure,cauliflower,Gemüse,cauliflower,Groenten,cauliflower,Verduras,cauliflower,Legumes,cauliflower,Légumes,cauliflower,蔬菜,菜花,Овощи,цветная капуста,野菜,カリフラワー,채소,콜리플라워,خضروات,قرنبيط,सब्ज़ियाँ,फूलगोभी
Vegetables,kale,Verdure,kale,Gemüse,kale,Groenten,kale,Verduras,kale,Legumes,kale,Légumes,kale,蔬菜,kale,Овощи,kale,野菜,kale,채소,kale,خضروات,kale,सब्ज़ियाँ,kale
Vegetables,asparagus,Verdure,asparagus,Gemüse,asparagus,Groenten,asparagus,Verduras,asparagus,Legumes,asparagus,Légumes,asparagus,蔬菜,asparagus,Овощи,asparagus,野菜,asparagus,채소,asparagus,خضروات,asparagus,सब्ज़ियाँ,asparagus
Vegetables,leek,Verdure,leek,Gemüse,leek,Groenten,leek,Verduras,leek,Legumes,leek,Légumes,leek,蔬菜,leek,Овощи,leek,野菜,leek,채소,leek,خضروات,leek,सब्ज़ियाँ,leek
Vegetables,leeks,Verdure,leeks,Gemüse,leeks,Groenten,leeks,Verduras,leeks,Legumes,leeks,Légumes,leeks,蔬菜,leeks,Овощи,leeks,野菜,leeks,채소,leeks,خضروات,leeks,सब्ज़ियाँ,leeks
Vegetables,radish,Verdure,radish,Gemüse,radish,Groenten,radish,Verduras,radish,Legumes,radish,Légumes,radish,蔬菜,radish,Овощи,radish,野菜,radish,채소,radish,خضروات,radish,सब्ज़ियाँ,radish
Vegetables,radishes,Verdure,radishes,Gemüse,radishes,Groenten,radishes,Verduras,radishes,Legumes,radishes,Légumes,radishes,蔬菜,radishes,Овощи,radishes,野菜,radishes,채소,radishes,خضروات,radishes,सब्ज़ियाँ,radishes
Vegetables,beet,Verdure,beet,Gemüse,beet,Groenten,beet,Verduras,beet,Legumes,beet,Légumes,beet,蔬菜,beet,Овощи,beet,野菜,beet,채소,beet,خضروات,beet,सब्ज़ियाँ,beet
Vegetables,beetroot,Verdure,beetroot,Gemüse,beetroot,Groenten,beetroot,Verduras,beetroot,Legumes,beetroot,Légumes,beetroot,蔬菜,beetroot,Овощи,beetroot,野菜,beetroot,채소,beetroot,خضروات,beetroot,सब्ज़ियाँ,beetroot
Vegetables,sweet potato,Verdure,sweet patata,Gemüse,sweet kartoffel,Groenten,sweet aardappel,Verduras,sweet patata,Legumes,sweet batata,Légumes,sweet pomme de terre,蔬菜,sweet potato,Овощи,sweet potato,野菜,sweet potato,채소,sweet potato,خضروات,sweet potato,सब्ज़ियाँ,sweet potato
Vegetables,sweet potatoes,Verdure,sweet potatoes,Gemüse,sweet potatoes,Groenten,sweet potatoes,Verduras,sweet potatoes,Legumes,sweet potatoes,Légumes,sweet potatoes,蔬菜,sweet potatoes,Овощи,sweet potatoes,野菜,sweet potatoes,채소,sweet potatoes,خضروات,sweet potatoes,सब्ज़ियाँ,sweet potatoes
Vegetables,pumpkin,Verdure,pumpkin,Gemüse,pumpkin,Groenten,pumpkin,Verduras,pumpkin,Legumes,pumpkin,Légumes,pumpkin,蔬菜,pumpkin,Овощи,pumpkin,野菜,pumpkin,채소,pumpkin,خضروات,pumpkin,सब्ज़ियाँ,pumpkin
Vegetables,squash,Verdure,squash,Gemüse,squash,Groenten,squash,Verduras,squash,Legumes,squash,Légumes,squash,蔬菜,squash,Овощи,squash,野菜,squash,채소,squash,خضروات,squash,सब्ज़ियाँ,squash
Vegetables,artichoke,Verdure,artichoke,Gemüse,artichoke,Groenten,artichoke,Verduras,artichoke,Legumes,artichoke,Légumes,artichoke,蔬菜,artichoke,Овощи,artichoke,野菜,artichoke,채소,artichoke,خضروات,artichoke,सब्ज़ियाँ,artichoke
Vegetables,fennel,Verdure,fennel,Gemüse,fennel,Groenten,fennel,Verduras,fennel,Legumes,fennel,Légumes,fennel,蔬菜,fennel,Овощи,fennel,野菜,fennel,채소,fennel,خضروات,fennel,सब्ज़ियाँ,fennel
Vegetables,parsnip,Verdure,parsnip,Gemüse,parsnip,Groenten,parsnip,Verduras,parsnip,Legumes,parsnip,Légumes,parsnip,蔬菜,parsnip,Овощи,parsnip,野菜,parsnip,채소,parsnip,خضروات,parsnip,सब्ज़ियाँ,parsnip
Vegetables,turnip,Verdure,turnip,Gemüse,turnip,Groenten,turnip,Verduras,turnip,Legumes,turnip,Légumes,turnip,蔬菜,turnip,Овощи,turnip,野菜,turnip,채소,turnip,خضروات,turnip,सब्ज़ियाँ,turnip
Vegetables,spring onion,Verdure,spring cipolla,Gemüse,spring zwiebel,Groenten,spring ui,Verduras,spring cebolla,Legumes,spring cebola,Légumes,spring oignon,蔬菜,spring onion,Овощи,spring onion,野菜,spring onion,채소,spring onion,خضروات,spring onion,सब्ज़ियाँ,spring onion
Vegetables,spring onions,Verdure,spring cipolle,Gemüse,spring zwiebel,Groenten,spring uis,Verduras,spring cebollas,Legumes,spring cebolas,Légumes,spring oignons,蔬菜,spring onions,Овощи,spring onions,野菜,spring onions,채소,spring onions,خضروات,spring onions,सब्ज़ियाँ,spring onions
Vegetables,rocket,Verdure,rocket,Gemüse,rocket,Groenten,rocket,Verduras,rocket,Legumes,rocket,Légumes,rocket,蔬菜,rocket,Овощи,rocket,野菜,rocket,채소,rocket,خضروات,rocket,सब्ज़ियाँ,rocket
Vegetables,arugula,Verdure,arugula,Gemüse,arugula,Groenten,arugula,Verduras,arugula,Legumes,arugula,Légumes,arugula,蔬菜,arugula,Овощи,arugula,野菜,arugula,채소,arugula,خضروات,arugula,सब्ज़ियाँ,arugula
Vegetables,salad,Verdure,insalata,Gemüse,salat,Groenten,salade,Verduras,ensalada,Legumes,salada,Légumes,salade,蔬菜,salad,Овощи,salad,野菜,salad,채소,salad,خضروات,salad,सब्ज़ियाँ,salad
Vegetables,mixed salad,Verdure,mixed insalata,Gemüse,mixed salat,Groenten,mixed salade,Verduras,mixed ensalada,Legumes,mixed salada,Légumes,mixed salade,蔬菜,mixed salad,Овощи,mixed salad,野菜,mixed salad,채소,mixed salad,خضروات,mixed salad,सब्ज़ियाँ,mixed salad
Vegetables,herbs,Verdure,herbs,Gemüse,herbs,Groenten,herbs,Verduras,herbs,Legumes,herbs,Légumes,herbs,蔬菜,herbs,Овощи,herbs,野菜,herbs,채소,herbs,خضروات,herbs,सब्ज़ियाँ,herbs
Vegetables,parsley,Verdure,parsley,Gemüse,parsley,Groenten,parsley,Verduras,parsley,Legumes,parsley,Légumes,parsley,蔬菜,parsley,Овощи,parsley,野菜,parsley,채소,parsley,خضروات,parsley,सब्ज़ियाँ,parsley
Vegetables,basil,Verdure,basil,Gemüse,basil,Groenten,basil,Verduras,basil,Legumes,basil,Légumes,basil,蔬菜,basil,Овощи,basil,野菜,basil,채소,basil,خضروات,basil,सब्ज़ियाँ,basil
Vegetables,cilantro,Verdure,cilantro,Gemüse,cilantro,Groenten,cilantro,Verduras,cilantro,Legumes,cilantro,Légumes,cilantro,蔬菜,cilantro,Овощи,cilantro,野菜,cilantro,채소,cilantro,خضروات,cilantro,सब्ज़ियाँ,cilantro
Vegetables,coriander,Verdure,coriander,Gemüse,coriander,Groenten,coriander,Verduras,coriander,Legumes,coriander,Légumes,coriander,蔬菜,coriander,Овощи,coriander,野菜,coriander,채소,coriander,خضروات,coriander,सब्ज़ियाँ,coriander
Vegetables,mint,Verdure,mint,Gemüse,mint,Groenten,mint,Verduras,mint,Legumes,mint,Légumes,mint,蔬菜,mint,Овощи,mint,野菜,mint,채소,mint,خضروات,mint,सब्ज़ियाँ,mint
Vegetables,dill,Verdure,dill,Gemüse,dill,Groenten,dill,Verduras,dill,Legumes,dill,Légumes,dill,蔬菜,dill,Овощи,dill,野菜,dill,채소,dill,خضروات,dill,सब्ज़ियाँ,dill
Vegetables,chives,Verdure,chives,Gemüse,chives,Groenten,chives,Verduras,chives,Legumes,chives,Légumes,chives,蔬菜,chives,Овощи,chives,野菜,chives,채소,chives,خضروات,chives,सब्ज़ियाँ,chives
Vegetables,ginger,Verdure,ginger,Gemüse,ginger,Groenten,ginger,Verduras,ginger,Legumes,ginger,Légumes,ginger,蔬菜,ginger,Овощи,ginger,野菜,ginger,채소,ginger,خضروات,ginger,सब्ज़ियाँ,ginger
Bread & Bakery,bread,Pane e forno,pane,Brot & Bäckerei,brot,Brood & bakkerij,brood,Pan y panadería,pan,Pães e padaria,pão,Pain & boulangerie,pain,面包与烘焙,面包,Хлеб и выпечка,хлеб,パン・ベーカリー,パン,빵/베이커리,빵,خبز ومخبوزات,خبز,ब्रेड और बेकरी,ब्रेड
